Route,Grade,Grade band,Discipline,Grade system,Area,Wall,Source,Latitude,Longitude,Row Key,Notion Page ID,Status
Reden ist Silber,6-,5-7,sport,UIAA,Hocheck,Philosophenzahn,Österreich Ost,,,Hocheck | Philosophenzahn | Reden ist Silber,,to create
Hättest du geschwiegen,5+,5-7,sport,UIAA,Hocheck,Philosophenzahn,Österreich Ost,,,Hocheck | Philosophenzahn | Hättest du geschwiegen,,to create
Löcher-Blockier-Quälgeist,8,8-11,sport,UIAA,Hocheck,Philosophenzahn,Österreich Ost,,,Hocheck | Philosophenzahn | Löcher-Blockier-Quälgeist,,to create
Auenland,1,1-4,sport,UIAA,Hocheck,Auenland,Österreich Ost,,,Hocheck | Auenland | Auenland,,to create
Sam,2+,1-4,sport,UIAA,Hocheck,Auenland,Österreich Ost,,,Hocheck | Auenland | Sam,,to create
Frodo,6,5-7,sport,UIAA,Hocheck,Auenland,Österreich Ost,,,Hocheck | Auenland | Frodo,,to create
Bilbo,5,5-7,sport,UIAA,Hocheck,Auenland,Österreich Ost,,,Hocheck | Auenland | Bilbo,,to create
Gimli der Zwerg,6,5-7,sport,UIAA,Hocheck,Auenland,Österreich Ost,,,Hocheck | Auenland | Gimli der Zwerg,,to create
Aragorn der König,7,5-7,sport,UIAA,Hocheck,Auenland,Österreich Ost,,,Hocheck | Auenland | Aragorn der König,,to create
Merry,4,1-4,sport,UIAA,Hocheck,Auenland,Österreich Ost,,,Hocheck | Auenland | Merry,,to create
Pippin,4,1-4,sport,UIAA,Hocheck,Auenland,Österreich Ost,,,Hocheck | Auenland | Pippin,,to create
Legolas der Elb,5,5-7,sport,UIAA,Hocheck,Auenland,Österreich Ost,,,Hocheck | Auenland | Legolas der Elb,,to create
Gandalf der Zauberer,4,1-4,sport,UIAA,Hocheck,Auenland,Österreich Ost,,,Hocheck | Auenland | Gandalf der Zauberer,,to create
Himmelsfinger,5+,5-7,sport,UIAA,Hocheck,Himmelsfinger,Österreich Ost,,,Hocheck | Himmelsfinger | Himmelsfinger,,to create
Direkter Himmelsfinger,6+,5-7,sport,UIAA,Hocheck,Himmelsfinger,Österreich Ost,,,Hocheck | Himmelsfinger | Direkter Himmelsfinger,,to create
Himmelsleiter,6,5-7,sport,UIAA,Hocheck,Himmelsfinger,Österreich Ost,,,Hocheck | Himmelsfinger | Himmelsleiter,,to create
3 Freunde Steig (Himmelsfinger),4,1-4,sport,UIAA,Hocheck,Himmelsfinger,Österreich Ost,,,Hocheck | Himmelsfinger | 3 Freunde Steig (Himmelsfinger),,to create
Variante (Himmelsfinger),5+,5-7,sport,UIAA,Hocheck,Himmelsfinger,Österreich Ost,,,Hocheck | Himmelsfinger | Variante (Himmelsfinger),,to create
Sesamjoint,6,5-7,sport,UIAA,Hocheck,Himmelsfinger,Österreich Ost,,,Hocheck | Himmelsfinger | Sesamjoint,,to create
Sesambackstube,5+,5-7,sport,UIAA,Hocheck,Himmelsfinger,Österreich Ost,,,Hocheck | Himmelsfinger | Sesambackstube,,to create
Ojemine des is net schei,4,1-4,sport,UIAA,Hocheck,Himmelsfinger,Österreich Ost,,,Hocheck | Himmelsfinger | Ojemine des is net schei,,to create
Alibaba und das Sesambrötchen,4,1-4,sport,UIAA,Hocheck,Himmelsfinger,Österreich Ost,,,Hocheck | Himmelsfinger | Alibaba und das Sesambrötchen,,to create
Alibabas Räubergeschichten,4,1-4,sport,UIAA,Hocheck,Himmelsfinger,Österreich Ost,,,Hocheck | Himmelsfinger | Alibabas Räubergeschichten,,to create
Hotzenplotz,5-,5-7,sport,UIAA,Hocheck,Himmelsfinger,Österreich Ost,,,Hocheck | Himmelsfinger | Hotzenplotz,,to create
Potz Blitz,4,1-4,sport,UIAA,Hocheck,Himmelsfinger,Österreich Ost,,,Hocheck | Himmelsfinger | Potz Blitz,,to create
Zubringer,4+/5-,1-4,sport,UIAA,Hocheck,Himmelsfinger,Österreich Ost,,,Hocheck | Himmelsfinger | Zubringer,,to create
Herbstnacht,4+,1-4,sport,UIAA,Hocheck,Himmelsfinger,Österreich Ost,,,Hocheck | Himmelsfinger | Herbstnacht,,to create
Frühlingsmorgen,5-,5-7,sport,UIAA,Hocheck,Himmelsfinger,Österreich Ost,,,Hocheck | Himmelsfinger | Frühlingsmorgen,,to create
Betthupferl,7,5-7,sport,UIAA,Hocheck,Himmelsfinger,Österreich Ost,,,Hocheck | Himmelsfinger | Betthupferl,,to create
Bettsteigerl,4,1-4,sport,UIAA,Hocheck,Himmelsfinger,Österreich Ost,,,Hocheck | Himmelsfinger | Bettsteigerl,,to create
Fluch zum Bruch,4,1-4,sport,UIAA,Hocheck,Himmelsfinger,Österreich Ost,,,Hocheck | Himmelsfinger | Fluch zum Bruch,,to create
